id, question, answer
1, "Де відбудеться захід?", "Посвята ФІОТ 2026 відбудеться на території КПІ ім. Ігоря Сікорського (посилання на точку збору надамо пізніше).

📅 <b>Дата:</b> 26 вересня
⏳ <b>Час:</b> 13:00

💙 <a href=""https://send.monobank.ua/jar/7utHDHzbHL"">Посилання на збір</a>"
2, "Чи передбачено обов'язковий донат за вхід?", "Вхід на захід вільний! Але ми будемо вдячні за добровільний донат на актуальний збір.

<a href=""https://send.monobank.ua/jar/7utHDHzbHL"">Посилання на збір</a>"
3, "Як задонатити?", "<a href=""https://send.monobank.ua/jar/7utHDHzbHL"">Посилання на збір</a>"
